id,title,release_date,moby_score,moby_url,platforms,genres,developers,publishers
95966,Divinity: Original Sin II,2016-09-15,8.9,https://www.mobygames.com/game/95966/divinity-original-sin-ii/,"Windows, Macintosh, iPad, PlayStation 4, Xbox One, Nintendo Switch","Role-playing (RPG), Fantasy, Turn-based, Diagonal-down, Point and select",Larian Studios NV,"Larian Studios NV, Spike Chunsoft Co., Ltd., BANDAI NAMCO Entertainment Europe S.A.S."
216563,Tekken 8,2024-01-25,8.89,https://www.mobygames.com/game/216563/tekken-8/,"Windows, PlayStation 5, Xbox Series","Action, Side view, Fighting, Anime / Manga, 2D scrolling, Direct control","BANDAI NAMCO Studios Inc., Arika Co., Ltd.",BANDAI NAMCO Entertainment America Inc.
33397,God of War: Chains of Olympus,2008-03-04,8.88,https://www.mobygames.com/game/33397/god-of-war-chains-of-olympus/,"PSP, PlayStation 3","Action, Hack and slash, Fantasy, Adult, Behind view, Direct control, Classical antiquity, Quick Time Events (QTEs)","Ready at Dawn Studios, LLC","Sony Computer Entertainment Europe Ltd., Sony Computer Entertainment Japan, Sony Computer Entertainment America Inc."
24117,Company of Heroes,2006-09-12,8.88,https://www.mobygames.com/game/24117/company-of-heroes/,"Windows, iPhone, Android, iPad","Strategy / tactics, Historical events, Real-time, War, Diagonal-down, Free camera, Point and select, Multiple units/characters control, Europe, World War II, Real-time strategy (RTS)",Relic Entertainment Inc,"SEGA Corporation, Feral Interactive Ltd., Buka Entertainment, ak tronic Software & Services GmbH, THQ Inc."
18696,Forza Motorsport,2005-05-03,8.88,https://www.mobygames.com/game/18696/forza-motorsport/,Xbox,"Racing / Driving, 1st-person, Diagonal-down, Direct control, Automobile, Street racing",Turn 10 Studios,Microsoft Corporation
27089,God of War II,2007-03-13,8.88,https://www.mobygames.com/game/27089/god-of-war-ii/,"PlayStation 2, PlayStation 3","Action, Puzzle elements, Hack and slash, Fantasy, Adult, Behind view, Classical antiquity, Quick Time Events (QTEs)",SCE Studio Santa Monica,"Sony Computer Entertainment Europe Ltd., Sony Computer Entertainment Japan, Sony Computer Entertainment America Inc., ak tronic Software & Services GmbH"
38697,Gears of War 2,2008-11-07,8.87,https://www.mobygames.com/game/38697/gears-of-war-2/,"Xbox 360, Xbox One, Xbox Cloud Gaming","Action, Sci-fi / futuristic, Shooter, Behind view","Epic Games, Inc.",Microsoft Corporation
110476,Super Smash Bros. Ultimate,2018-12-07,8.87,https://www.mobygames.com/game/110476/super-smash-bros-ultimate/,Nintendo Switch,"Action, Side view, Fighting, 2D scrolling","BANDAI NAMCO Studios Inc., Sora Ltd.","Nintendo Co., Ltd."
22361,Ninja Gaiden Black,2005-09-20,8.86,https://www.mobygames.com/game/22361/ninja-gaiden-black/,"Xbox, Xbox 360","Action, Puzzle elements, Hack and slash, Behind view",Team Ninja,"Microsoft Corporation, Tecmo, Inc., Tecmo, Ltd."
47486,StarCraft II: Wings of Liberty,2010-07-26,8.86,https://www.mobygames.com/game/47486/starcraft-ii-wings-of-liberty/,"Windows, Macintosh","Strategy / tactics, Sci-fi / futuristic, Real-time, War, Diagonal-down, Free camera, RPG elements, Point and select, Multiple units/characters control, Real-time strategy (RTS)",Blizzard Entertainment Inc.,Blizzard Entertainment Inc.
